content_id,legacy_id,series_id,stage,max_stage,equipment_slot,progression_type,progression_value,next_content_id,description,enabled,review_status,source,notes,wood_cost,gold_cost,shop_enabled,shop_category_id,shop_sort_order,required_city_level,requires_vip,requires_hero_summoned,required_rebirth_level,requires_building_id,requires_content_id,purchase_limit,disabled_reason_text,grant_type,icon_name,encounter_id,engine_item_name,base_attack_min,base_attack_max,base_strength,base_agility,base_intellect,attack_gain_per_attack,strength_gain_per_attack,agility_gain_per_attack,intellect_gain_per_attack,preserve_growth_on_upgrade,auto_equip,display_name,listed_stats,recipe_summary,base_attack_flat,base_health,base_armor,base_attack_speed_pct,base_lifesteal_pct
weapon_legend_abyss_00,5001,legend_abyss,0,10,main_hand,,,weapon_legend_abyss_01,增加属性  - 60W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 850护甲  - 全属性+30000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,1,needs_confirmation,武器合成/行60,,0,18,0,weapon,430,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_rapier,,item_survival_legend_abyss_00,600000,600000,30000,30000,30000,20,5,5,5,1,1,传说：深渊审判,增加属性  - 60W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 850护甲  - 全属性+30000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,0,0,0,0,0
weapon_legend_abyss_01,5002,legend_abyss,1,10,main_hand,,,weapon_legend_abyss_02,增加属性  - 70W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 850护甲  - 全属性+50000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,1,needs_confirmation,武器合成/行61,,0,18,0,weapon,440,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_rapier,,item_survival_legend_abyss_01,700000,700000,50000,50000,50000,20,5,5,5,1,1,传说：深渊审判+1,增加属性  - 70W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 850护甲  - 全属性+50000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,0,0,0,0,0
weapon_legend_abyss_10,5003,legend_abyss,10,10,main_hand,,,weapon_legend_abyss_11,增加属性  - 200W攻击力  - 400%攻速  - 100%吸血  - 200W生命值  - 850护甲  - 全属性+900000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,1,needs_confirmation,武器合成/行62,,0,18,0,weapon,450,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_rapier,,item_survival_legend_abyss_10,2000000,2000000,900000,900000,900000,20,5,5,5,1,1,传说：深渊审判+10,增加属性  - 200W攻击力  - 400%攻速  - 100%吸血  - 200W生命值  - 850护甲  - 全属性+900000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,0,0,0,0,0
weapon_legend_abyss_02,5004,legend_abyss,2,10,main_hand,,,weapon_legend_abyss_03,增加属性  - 80W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 850护甲  - 全属性+100000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,1,needs_confirmation,武器合成/行63,,0,18,0,weapon,460,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_rapier,,item_survival_legend_abyss_02,800000,800000,100000,100000,100000,20,5,5,5,1,1,传说：深渊审判+2,增加属性  - 80W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 850护甲  - 全属性+100000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,0,0,0,0,0
weapon_legend_abyss_03,5005,legend_abyss,3,10,main_hand,,,weapon_legend_abyss_04,增加属性  - 90W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 850护甲  - 全属性+200000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,1,needs_confirmation,武器合成/行64,,0,18,0,weapon,470,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_rapier,,item_survival_legend_abyss_03,900000,900000,200000,200000,200000,20,5,5,5,1,1,传说：深渊审判+3,增加属性  - 90W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 850护甲  - 全属性+200000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,0,0,0,0,0
weapon_legend_abyss_04,5006,legend_abyss,4,10,main_hand,,,weapon_legend_abyss_05,增加属性  - 100W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 850护甲  - 全属性+300000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,1,needs_confirmation,武器合成/行65,,0,18,0,weapon,480,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_rapier,,item_survival_legend_abyss_04,1000000,1000000,300000,300000,300000,20,5,5,5,1,1,传说：深渊审判+4,增加属性  - 100W攻击力  - 400%攻速  - 100%吸血  - 100W生命值  - 850护甲  - 全属性+300000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,0,0,0,0,0
weapon_legend_abyss_05,5007,legend_abyss,5,10,main_hand,,,weapon_legend_abyss_06,增加属性  - 110W攻击力  - 400%攻速  - 100%吸血  - 110W生命值  - 850护甲  - 全属性+400000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,1,needs_confirmation,武器合成/行66,,0,18,0,weapon,490,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_rapier,,item_survival_legend_abyss_05,1100000,1100000,400000,400000,400000,20,5,5,5,1,1,传说：深渊审判+5,增加属性  - 110W攻击力  - 400%攻速  - 100%吸血  - 110W生命值  - 850护甲  - 全属性+400000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,0,0,0,0,0
weapon_legend_abyss_06,5008,legend_abyss,6,10,main_hand,,,weapon_legend_abyss_07,增加属性  - 120W攻击力  - 400%攻速  - 100%吸血  - 120W生命值  - 850护甲  - 全属性+500000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,1,needs_confirmation,武器合成/行67,,0,18,0,weapon,500,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_rapier,,item_survival_legend_abyss_06,1200000,1200000,500000,500000,500000,20,5,5,5,1,1,传说：深渊审判+6,增加属性  - 120W攻击力  - 400%攻速  - 100%吸血  - 120W生命值  - 850护甲  - 全属性+500000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,0,0,0,0,0
weapon_legend_abyss_07,5009,legend_abyss,7,10,main_hand,,,weapon_legend_abyss_08,增加属性  - 130W攻击力  - 400%攻速  - 100%吸血  - 130W生命值  - 850护甲  - 全属性+600000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,1,needs_confirmation,武器合成/行68,,0,18,0,weapon,510,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_rapier,,item_survival_legend_abyss_07,1300000,1300000,600000,600000,600000,20,5,5,5,1,1,传说：深渊审判+7,增加属性  - 130W攻击力  - 400%攻速  - 100%吸血  - 130W生命值  - 850护甲  - 全属性+600000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,0,0,0,0,0
weapon_legend_abyss_08,5010,legend_abyss,8,10,main_hand,,,weapon_legend_abyss_09,增加属性  - 140W攻击力  - 400%攻速  - 100%吸血  - 140W生命值  - 850护甲  - 全属性+700000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,1,needs_confirmation,武器合成/行69,,0,18,0,weapon,520,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_rapier,,item_survival_legend_abyss_08,1400000,1400000,700000,700000,700000,20,5,5,5,1,1,传说：深渊审判+8,增加属性  - 140W攻击力  - 400%攻速  - 100%吸血  - 140W生命值  - 850护甲  - 全属性+700000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,0,0,0,0,0
weapon_legend_abyss_09,5011,legend_abyss,9,10,main_hand,,,weapon_legend_abyss_10,增加属性  - 150W攻击力  - 400%攻速  - 100%吸血  - 150W生命值  - 850护甲  - 全属性+800000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,1,needs_confirmation,武器合成/行70,,0,18,0,weapon,530,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_rapier,,item_survival_legend_abyss_09,1500000,1500000,800000,800000,800000,20,5,5,5,1,1,传说：深渊审判+9,增加属性  - 150W攻击力  - 400%攻速  - 100%吸血  - 150W生命值  - 850护甲  - 全属性+800000 对周围200码敌人每秒造成全属性*5的伤害 每次造成伤害增加20点攻击力 每次造成伤害增加5点全属性 每次攻击10%概率对周围500码敌人发动焰爆造成全属性*50倍的伤害,,0,0,0,0,0
