component_key,asset_id,component_id,model_path,entity_class,parent_component_id,attach_mode,attachment_point,default_sequence,model_scale,model_skin,material_group,sort_order,enabled,notes
tower_lightning_razor_voidstorm:lightning_razor_armor,tower_lightning_razor_voidstorm,lightning_razor_armor,models/items/razor/razor_arcana/razor_arcana_armor_refit.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,source=asset_native_wearables.csv; wearable_key=lightning_razor_armor; item_def=23097; hero_unit_name=npc_dota_hero_razor; slot=armor
tower_lightning_razor_voidstorm:lightning_razor_arms,tower_lightning_razor_voidstorm,lightning_razor_arms,models/items/razor/razor_arcana/razor_arcana_arms.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,source=asset_native_wearables.csv; wearable_key=lightning_razor_arms; item_def=23098; hero_unit_name=npc_dota_hero_razor; slot=arms
tower_lightning_razor_voidstorm:lightning_razor_belt,tower_lightning_razor_voidstorm,lightning_razor_belt,models/heroes/razor/razor_robe_refit.vmdl,prop_dynamic,,bone_merge,,idle,1,,,5,1,source=asset_native_wearables.csv; wearable_key=lightning_razor_belt; item_def=23099; hero_unit_name=npc_dota_hero_razor; slot=belt
tower_machine_gun_sniper_occultist:machine_gun_sniper_weapon,tower_machine_gun_sniper_occultist,machine_gun_sniper_weapon,models/heroes/sniper/weapon.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,source=asset_native_wearables.csv; wearable_key=machine_gun_sniper_weapon; item_def=281; hero_unit_name=npc_dota_hero_sniper; slot=
tower_machine_gun_sniper_occultist:machine_gun_sniper_cape,tower_machine_gun_sniper_occultist,machine_gun_sniper_cape,models/heroes/sniper/cape.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,source=asset_native_wearables.csv; wearable_key=machine_gun_sniper_cape; item_def=282; hero_unit_name=npc_dota_hero_sniper; slot=back
tower_machine_gun_sniper_occultist:machine_gun_sniper_head,tower_machine_gun_sniper_occultist,machine_gun_sniper_head,models/heroes/sniper/headitem.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,source=asset_native_wearables.csv; wearable_key=machine_gun_sniper_head; item_def=283; hero_unit_name=npc_dota_hero_sniper; slot=head
tower_machine_gun_sniper_occultist:machine_gun_sniper_shoulder,tower_machine_gun_sniper_occultist,machine_gun_sniper_shoulder,models/heroes/sniper/shoulder.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,source=asset_native_wearables.csv; wearable_key=machine_gun_sniper_shoulder; item_def=284; hero_unit_name=npc_dota_hero_sniper; slot=shoulder
tower_machine_gun_sniper_occultist:machine_gun_sniper_bracer,tower_machine_gun_sniper_occultist,machine_gun_sniper_bracer,models/heroes/sniper/bracer.vmdl,prop_dynamic,,bone_merge,,idle,1,,,5,1,source=asset_native_wearables.csv; wearable_key=machine_gun_sniper_bracer; item_def=285; hero_unit_name=npc_dota_hero_sniper; slot=arms
tower_machine_gun_bounty_heartless:machine_gun_bounty_right_weapon,tower_machine_gun_bounty_heartless,machine_gun_bounty_right_weapon,models/heroes/bounty_hunter/bounty_hunter_rweapon.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,source=asset_native_wearables.csv; wearable_key=machine_gun_bounty_right_weapon; item_def=50; hero_unit_name=npc_dota_hero_bounty_hunter; slot=
tower_machine_gun_bounty_heartless:machine_gun_bounty_left_weapon,tower_machine_gun_bounty_heartless,machine_gun_bounty_left_weapon,models/heroes/bounty_hunter/bounty_hunter_lweapon.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,source=asset_native_wearables.csv; wearable_key=machine_gun_bounty_left_weapon; item_def=51; hero_unit_name=npc_dota_hero_bounty_hunter; slot=offhand_weapon
tower_machine_gun_bounty_heartless:machine_gun_bounty_backpack,tower_machine_gun_bounty_heartless,machine_gun_bounty_backpack,models/heroes/bounty_hunter/bounty_hunter_backpack.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,source=asset_native_wearables.csv; wearable_key=machine_gun_bounty_backpack; item_def=52; hero_unit_name=npc_dota_hero_bounty_hunter; slot=back
tower_machine_gun_bounty_heartless:machine_gun_bounty_pads,tower_machine_gun_bounty_heartless,machine_gun_bounty_pads,models/heroes/bounty_hunter/bounty_hunter_pads.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,source=asset_native_wearables.csv; wearable_key=machine_gun_bounty_pads; item_def=53; hero_unit_name=npc_dota_hero_bounty_hunter; slot=shoulder
tower_machine_gun_bounty_heartless:machine_gun_bounty_bweapon,tower_machine_gun_bounty_heartless,machine_gun_bounty_bweapon,models/heroes/bounty_hunter/bounty_hunter_bweapon.vmdl,prop_dynamic,,bone_merge,,idle,1,,,5,1,source=asset_native_wearables.csv; wearable_key=machine_gun_bounty_bweapon; item_def=54; hero_unit_name=npc_dota_hero_bounty_hunter; slot=weapon
tower_machine_gun_bounty_heartless:machine_gun_bounty_bandana,tower_machine_gun_bounty_heartless,machine_gun_bounty_bandana,models/heroes/bounty_hunter/bounty_hunter_bandana.vmdl,prop_dynamic,,bone_merge,,idle,1,,,6,1,source=asset_native_wearables.csv; wearable_key=machine_gun_bounty_bandana; item_def=55; hero_unit_name=npc_dota_hero_bounty_hunter; slot=head
tower_machine_gun_windranger_rising_gale:machine_gun_windrunner_head,tower_machine_gun_windranger_rising_gale,machine_gun_windrunner_head,models/heroes/windrunner/windrunner_head.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,source=asset_native_wearables.csv; wearable_key=machine_gun_windrunner_head; item_def=21; hero_unit_name=npc_dota_hero_windrunner; slot=head
tower_machine_gun_windranger_rising_gale:machine_gun_windrunner_bow,tower_machine_gun_windranger_rising_gale,machine_gun_windrunner_bow,models/heroes/windrunner/windrunner_bow.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,source=asset_native_wearables.csv; wearable_key=machine_gun_windrunner_bow; item_def=22; hero_unit_name=npc_dota_hero_windrunner; slot=
tower_machine_gun_windranger_rising_gale:machine_gun_windrunner_shoulderpads,tower_machine_gun_windranger_rising_gale,machine_gun_windrunner_shoulderpads,models/heroes/windrunner/windrunner_shoulderpads.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,source=asset_native_wearables.csv; wearable_key=machine_gun_windrunner_shoulderpads; item_def=23; hero_unit_name=npc_dota_hero_windrunner; slot=shoulder
tower_machine_gun_windranger_rising_gale:machine_gun_windrunner_cape,tower_machine_gun_windranger_rising_gale,machine_gun_windrunner_cape,models/heroes/windrunner/windrunner_cape.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,source=asset_native_wearables.csv; wearable_key=machine_gun_windrunner_cape; item_def=24; hero_unit_name=npc_dota_hero_windrunner; slot=back
tower_machine_gun_windranger_rising_gale:machine_gun_windrunner_quiver,tower_machine_gun_windranger_rising_gale,machine_gun_windrunner_quiver,models/heroes/windrunner/windrunner_quiver.vmdl,prop_dynamic,,bone_merge,,idle,1,,,5,1,source=asset_native_wearables.csv; wearable_key=machine_gun_windrunner_quiver; item_def=25; hero_unit_name=npc_dota_hero_windrunner; slot=back
tower_multi_medusa_anamnessa:multi_vengeful_hair,tower_multi_medusa_anamnessa,multi_vengeful_hair,models/heroes/vengeful/vengeful_hair.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,source=asset_native_wearables.csv; wearable_key=multi_vengeful_hair; item_def=441; hero_unit_name=npc_dota_hero_vengefulspirit; slot=head
tower_multi_medusa_anamnessa:multi_vengeful_weapon,tower_multi_medusa_anamnessa,multi_vengeful_weapon,models/heroes/vengeful/vengeful_weapon.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,source=asset_native_wearables.csv; wearable_key=multi_vengeful_weapon; item_def=442; hero_unit_name=npc_dota_hero_vengefulspirit; slot=
tower_multi_medusa_anamnessa:multi_vengeful_upperbody,tower_multi_medusa_anamnessa,multi_vengeful_upperbody,models/heroes/vengeful/vengeful_upperbody.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,source=asset_native_wearables.csv; wearable_key=multi_vengeful_upperbody; item_def=445; hero_unit_name=npc_dota_hero_vengefulspirit; slot=armor
tower_multi_medusa_anamnessa:multi_vengeful_lowerbody,tower_multi_medusa_anamnessa,multi_vengeful_lowerbody,models/heroes/vengeful/vengeful_lowerbody.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,source=asset_native_wearables.csv; wearable_key=multi_vengeful_lowerbody; item_def=447; hero_unit_name=npc_dota_hero_vengefulspirit; slot=legs
tower_multi_drow_dread_retribution:multi_luna_weapon,tower_multi_drow_dread_retribution,multi_luna_weapon,models/heroes/luna/luna_weapon.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,source=asset_native_wearables.csv; wearable_key=multi_luna_weapon; item_def=448; hero_unit_name=npc_dota_hero_luna; slot=
tower_multi_drow_dread_retribution:multi_luna_shield,tower_multi_drow_dread_retribution,multi_luna_shield,models/heroes/luna/luna_shield.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,source=asset_native_wearables.csv; wearable_key=multi_luna_shield; item_def=449; hero_unit_name=npc_dota_hero_luna; slot=offhand_weapon
tower_multi_drow_dread_retribution:multi_luna_helmet,tower_multi_drow_dread_retribution,multi_luna_helmet,models/heroes/luna/luna_helmet.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,source=asset_native_wearables.csv; wearable_key=multi_luna_helmet; item_def=450; hero_unit_name=npc_dota_hero_luna; slot=head
tower_multi_drow_dread_retribution:multi_luna_shoulder,tower_multi_drow_dread_retribution,multi_luna_shoulder,models/heroes/luna/luna_shoulder.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,source=asset_native_wearables.csv; wearable_key=multi_luna_shoulder; item_def=451; hero_unit_name=npc_dota_hero_luna; slot=shoulder
tower_multi_drow_dread_retribution:multi_luna_mount,tower_multi_drow_dread_retribution,multi_luna_mount,models/heroes/luna/luna_mount.vmdl,prop_dynamic,,bone_merge,,idle,1,,,5,1,source=asset_native_wearables.csv; wearable_key=multi_luna_mount; item_def=452; hero_unit_name=npc_dota_hero_luna; slot=mount
tower_multi_drow_dread_retribution:multi_luna_head,tower_multi_drow_dread_retribution,multi_luna_head,models/heroes/luna/luna_head.vmdl,prop_dynamic,,bone_merge,,idle,1,,,6,1,source=asset_native_wearables.csv; wearable_key=multi_luna_head; item_def=453; hero_unit_name=npc_dota_hero_luna; slot=body_head
tower_multi_vengeful_shen_screeauk:multi_medusa_bow,tower_multi_vengeful_shen_screeauk,multi_medusa_bow,models/heroes/medusa/medusa_bow.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,source=asset_native_wearables.csv; wearable_key=multi_medusa_bow; item_def=381; hero_unit_name=npc_dota_hero_medusa; slot=
tower_multi_vengeful_shen_screeauk:multi_medusa_veil,tower_multi_vengeful_shen_screeauk,multi_medusa_veil,models/heroes/medusa/medusa_veil.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,source=asset_native_wearables.csv; wearable_key=multi_medusa_veil; item_def=382; hero_unit_name=npc_dota_hero_medusa; slot=head
tower_multi_vengeful_shen_screeauk:multi_medusa_torso,tower_multi_vengeful_shen_screeauk,multi_medusa_torso,models/heroes/medusa/medusa_torso.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,source=asset_native_wearables.csv; wearable_key=multi_medusa_torso; item_def=383; hero_unit_name=npc_dota_hero_medusa; slot=armor
tower_multi_vengeful_shen_screeauk:multi_medusa_arms,tower_multi_vengeful_shen_screeauk,multi_medusa_arms,models/heroes/medusa/medusa_arms.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,source=asset_native_wearables.csv; wearable_key=multi_medusa_arms; item_def=384; hero_unit_name=npc_dota_hero_medusa; slot=arms
tower_multi_vengeful_shen_screeauk:multi_medusa_tail,tower_multi_vengeful_shen_screeauk,multi_medusa_tail,models/heroes/medusa/medusa_tail.vmdl,prop_dynamic,,bone_merge,,idle,1,,,5,1,source=asset_native_wearables.csv; wearable_key=multi_medusa_tail; item_def=385; hero_unit_name=npc_dota_hero_medusa; slot=legs
tower_keeper_of_the_light:mystery_storm_hat,tower_keeper_of_the_light,mystery_storm_hat,models/heroes/storm_spirit/storm_hat.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,source=asset_native_wearables.csv; wearable_key=mystery_storm_hat; item_def=308; hero_unit_name=npc_dota_hero_storm_spirit; slot=head
tower_keeper_of_the_light:mystery_storm_shoulder,tower_keeper_of_the_light,mystery_storm_shoulder,models/heroes/storm_spirit/storm_shoulder.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,source=asset_native_wearables.csv; wearable_key=mystery_storm_shoulder; item_def=309; hero_unit_name=npc_dota_hero_storm_spirit; slot=shoulder
tower_keeper_of_the_light:mystery_storm_shirt,tower_keeper_of_the_light,mystery_storm_shirt,models/heroes/storm_spirit/storm_shirt.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,source=asset_native_wearables.csv; wearable_key=mystery_storm_shirt; item_def=310; hero_unit_name=npc_dota_hero_storm_spirit; slot=armor
tower_laser_death_prophet_brightshroud:mystery_tinker_right_arm,tower_laser_death_prophet_brightshroud,mystery_tinker_right_arm,models/heroes/tinker/tinker_right_arm.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,source=asset_native_wearables.csv; wearable_key=mystery_tinker_right_arm; item_def=367; hero_unit_name=npc_dota_hero_tinker; slot=arms
tower_laser_death_prophet_brightshroud:mystery_tinker_left_arm,tower_laser_death_prophet_brightshroud,mystery_tinker_left_arm,models/heroes/tinker/tinker_left_arm.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,source=asset_native_wearables.csv; wearable_key=mystery_tinker_left_arm; item_def=463; hero_unit_name=npc_dota_hero_tinker; slot=arms
tower_laser_death_prophet_brightshroud:mystery_tinker_shoulders,tower_laser_death_prophet_brightshroud,mystery_tinker_shoulders,models/heroes/tinker/tinker_shoulders.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,source=asset_native_wearables.csv; wearable_key=mystery_tinker_shoulders; item_def=464; hero_unit_name=npc_dota_hero_tinker; slot=shoulder
tower_laser_death_prophet_brightshroud:mystery_tinker_helmet,tower_laser_death_prophet_brightshroud,mystery_tinker_helmet,models/heroes/tinker/tinker_helmet.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,source=asset_native_wearables.csv; wearable_key=mystery_tinker_helmet; item_def=465; hero_unit_name=npc_dota_hero_tinker; slot=head
tower_laser_death_prophet_brightshroud:mystery_tinker_body_head,tower_laser_death_prophet_brightshroud,mystery_tinker_body_head,models/heroes/tinker/tinker_body_head.vmdl,prop_dynamic,,bone_merge,,idle,1,,,5,1,source=asset_native_wearables.csv; wearable_key=mystery_tinker_body_head; item_def=466; hero_unit_name=npc_dota_hero_tinker; slot=body_head
tower_laser_death_prophet_brightshroud:mystery_tinker_cape,tower_laser_death_prophet_brightshroud,mystery_tinker_cape,models/heroes/tinker/tinker_cape.vmdl,prop_dynamic,,bone_merge,,idle,1,,,6,1,source=asset_native_wearables.csv; wearable_key=mystery_tinker_cape; item_def=467; hero_unit_name=npc_dota_hero_tinker; slot=back
tower_anti_air_gyro_swooping:anti_air_gyro_bottles,tower_anti_air_gyro_swooping,anti_air_gyro_bottles,models/heroes/gyro/gyro_bottles.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,source=asset_native_wearables.csv; wearable_key=anti_air_gyro_bottles; item_def=126; hero_unit_name=npc_dota_hero_gyrocopter; slot=back
tower_anti_air_gyro_swooping:anti_air_gyro_body_head,tower_anti_air_gyro_swooping,anti_air_gyro_body_head,models/heroes/gyro/gyro_head.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,source=asset_native_wearables.csv; wearable_key=anti_air_gyro_body_head; item_def=131; hero_unit_name=npc_dota_hero_gyrocopter; slot=body_head
tower_anti_air_gyro_swooping:anti_air_gyro_goggles,tower_anti_air_gyro_swooping,anti_air_gyro_goggles,models/heroes/gyro/gyro_goggles.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,source=asset_native_wearables.csv; wearable_key=anti_air_gyro_goggles; item_def=176; hero_unit_name=npc_dota_hero_gyrocopter; slot=head
tower_anti_air_gyro_swooping:anti_air_gyro_guns,tower_anti_air_gyro_swooping,anti_air_gyro_guns,models/heroes/gyro/gyro_guns.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,source=asset_native_wearables.csv; wearable_key=anti_air_gyro_guns; item_def=177; hero_unit_name=npc_dota_hero_gyrocopter; slot=
tower_anti_air_gyro_swooping:anti_air_gyro_propeller,tower_anti_air_gyro_swooping,anti_air_gyro_propeller,models/heroes/gyro/gyro_propeller.vmdl,prop_dynamic,,bone_merge,,idle,1,,,5,1,source=asset_native_wearables.csv; wearable_key=anti_air_gyro_propeller; item_def=178; hero_unit_name=npc_dota_hero_gyrocopter; slot=misc
tower_anti_air_gyro_swooping:anti_air_gyro_missile,tower_anti_air_gyro_swooping,anti_air_gyro_missile,models/heroes/gyro/gyro_missile.vmdl,prop_dynamic,,bone_merge,,idle,1,,,6,1,source=asset_native_wearables.csv; wearable_key=anti_air_gyro_missile; item_def=179; hero_unit_name=npc_dota_hero_gyrocopter; slot=offhand_weapon
tower_anti_air_batrider_empiric:anti_air_batrider_head,tower_anti_air_batrider_empiric,anti_air_batrider_head,models/heroes/batrider/batrider_head.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,source=asset_native_wearables.csv; wearable_key=anti_air_batrider_head; item_def=375; hero_unit_name=npc_dota_hero_batrider; slot=head
tower_anti_air_batrider_empiric:anti_air_batrider_cloak,tower_anti_air_batrider_empiric,anti_air_batrider_cloak,models/heroes/batrider/batrider_cloak.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,source=asset_native_wearables.csv; wearable_key=anti_air_batrider_cloak; item_def=376; hero_unit_name=npc_dota_hero_batrider; slot=shoulder
tower_anti_air_batrider_empiric:anti_air_batrider_belt,tower_anti_air_batrider_empiric,anti_air_batrider_belt,models/heroes/batrider/batrider_belt.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,source=asset_native_wearables.csv; wearable_key=anti_air_batrider_belt; item_def=377; hero_unit_name=npc_dota_hero_batrider; slot=belt
tower_anti_air_batrider_empiric:anti_air_batrider_mount,tower_anti_air_batrider_empiric,anti_air_batrider_mount,models/heroes/batrider/batrider_mount.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,source=asset_native_wearables.csv; wearable_key=anti_air_batrider_mount; item_def=378; hero_unit_name=npc_dota_hero_batrider; slot=mount
tower_anti_air_skywrath_empyrean:anti_air_skywrath_weapon,tower_anti_air_skywrath_empyrean,anti_air_skywrath_weapon,models/heroes/skywrath_mage/skywrath_mage_staff.vmdl,prop_dynamic,,bone_merge,,idle,1,,,1,1,source=asset_native_wearables.csv; wearable_key=anti_air_skywrath_weapon; item_def=420; hero_unit_name=npc_dota_hero_skywrath_mage; slot=
tower_anti_air_skywrath_empyrean:anti_air_skywrath_head,tower_anti_air_skywrath_empyrean,anti_air_skywrath_head,models/heroes/skywrath_mage/skywrath_mage_head.vmdl,prop_dynamic,,bone_merge,,idle,1,,,2,1,source=asset_native_wearables.csv; wearable_key=anti_air_skywrath_head; item_def=421; hero_unit_name=npc_dota_hero_skywrath_mage; slot=head
tower_anti_air_skywrath_empyrean:anti_air_skywrath_wings,tower_anti_air_skywrath_empyrean,anti_air_skywrath_wings,models/heroes/skywrath_mage/skywrath_mage_wings.vmdl,prop_dynamic,,bone_merge,,idle,1,,,3,1,source=asset_native_wearables.csv; wearable_key=anti_air_skywrath_wings; item_def=422; hero_unit_name=npc_dota_hero_skywrath_mage; slot=back
tower_anti_air_skywrath_empyrean:anti_air_skywrath_belt,tower_anti_air_skywrath_empyrean,anti_air_skywrath_belt,models/heroes/skywrath_mage/skywrath_mage_belt.vmdl,prop_dynamic,,bone_merge,,idle,1,,,4,1,source=asset_native_wearables.csv; wearable_key=anti_air_skywrath_belt; item_def=423; hero_unit_name=npc_dota_hero_skywrath_mage; slot=belt
tower_anti_air_skywrath_empyrean:anti_air_skywrath_shoulder,tower_anti_air_skywrath_empyrean,anti_air_skywrath_shoulder,models/heroes/skywrath_mage/skywrath_mage_shoulders.vmdl,prop_dynamic,,bone_merge,,idle,1,,,5,1,source=asset_native_wearables.csv; wearable_key=anti_air_skywrath_shoulder; item_def=424; hero_unit_name=npc_dota_hero_skywrath_mage; slot=shoulder
tower_anti_air_skywrath_empyrean:anti_air_skywrath_arms,tower_anti_air_skywrath_empyrean,anti_air_skywrath_arms,models/heroes/skywrath_mage/skywrath_mage_bracers.vmdl,prop_dynamic,,bone_merge,,idle,1,,,6,1,source=asset_native_wearables.csv; wearable_key=anti_air_skywrath_arms; item_def=425; hero_unit_name=npc_dota_hero_skywrath_mage; slot=arms
